attempt_id,lead_id,channel,attempt_ts,outcome,campaign_id
1,1,sms,2026-01-03T15:47:28,dropped,cmp_1
2,2,sms,2026-01-05T19:15:28,voicemail,cmp_4
3,2,call,2026-01-01T18:59:28,voicemail,cmp_3
4,2,sms,2026-01-02T09:18:28,no_answer,cmp_8
5,3,call,2025-12-27T01:11:28,no_answer,cmp_7
6,3,sms,2025-12-23T08:29:28,no_answer,cmp_7
7,3,call,2025-12-28T18:43:28,dropped,cmp_1
8,4,call,2026-01-02T16:14:28,answered,cmp_6
9,4,call,2025-12-30T16:25:28,answered,cmp_6
10,4,call,2025-12-29T14:33:28,dropped,cmp_1
11,4,sms,2026-01-03T10:22:28,voicemail,cmp_2
12,4,call,2025-12-31T05:45:28,voicemail,cmp_3
13,6,call,2026-01-04T21:43:28,dropped,cmp_8
14,6,call,2026-01-05T22:42:28,answered,cmp_5
15,7,call,2025-12-24T18:08:28,voicemail,cmp_7
16,8,call,2025-12-25T01:40:28,no_answer,cmp_5
17,8,sms,2025-12-22T12:19:28,voicemail,cmp_7
18,8,sms,2025-12-24T09:52:28,no_answer,cmp_8
19,8,sms,2025-12-26T01:47:28,dropped,cmp_2
20,8,call,2025-12-24T06:16:28,voicemail,cmp_2
21,8,sms,2025-12-20T21:06:28,dropped,cmp_3
22,9,call,2025-12-20T22:49:28,voicemail,cmp_7
23,9,call,2025-12-20T22:11:28,voicemail,cmp_3
24,9,sms,2025-12-17T00:15:28,no_answer,cmp_6
25,9,call,2025-12-19T23:57:28,dropped,cmp_6
26,9,call,2025-12-20T02:09:28,voicemail,cmp_7
27,10,call,2025-12-25T01:55:28,dropped,cmp_7
28,10,sms,2025-12-24T00:56:28,no_answer,cmp_5
29,11,call,2025-12-28T17:43:28,dropped,cmp_3
30,11,sms,2025-12-31T01:41:28,answered,cmp_5
31,11,call,2025-12-27T17:21:28,no_answer,cmp_2
32,11,sms,2025-12-26T23:51:28,voicemail,cmp_8
33,11,call,2026-01-01T22:44:28,dropped,cmp_7
34,12,call,2025-12-29T07:44:28,answered,cmp_8
35,12,sms,2025-12-29T11:13:28,no_answer,cmp_3
36,12,call,2025-12-29T06:38:28,no_answer,cmp_5
37,12,call,2025-12-26T19:00:28,voicemail,cmp_2
38,12,sms,2025-12-27T20:20:28,voicemail,cmp_2
39,12,call,2025-12-30T09:50:28,voicemail,cmp_1
40,13,call,2025-12-25T05:01:28,voicemail,cmp_4
41,13,call,2025-12-25T23:22:28,voicemail,cmp_5
42,13,sms,2025-12-22T12:47:28,answered,cmp_1
43,13,sms,2025-12-20T19:22:28,voicemail,cmp_3
44,13,sms,2025-12-22T03:16:28,no_answer,cmp_6
45,13,sms,2025-12-23T22:02:28,answered,cmp_5
46,14,call,2025-12-25T19:55:28,dropped,cmp_7
47,14,sms,2025-12-25T21:41:28,voicemail,cmp_4
48,14,sms,2025-12-30T21:20:28,voicemail,cmp_8
49,17,call,2026-01-03T04:31:28,answered,cmp_1
50,17,sms,2026-01-01T05:54:28,answered,cmp_2
51,17,sms,2026-01-01T19:12:28,dropped,cmp_6
52,19,call,2025-12-24T00:35:28,voicemail,cmp_2
53,19,sms,2025-12-26T22:28:28,answered,cmp_3
54,19,sms,2025-12-23T18:23:28,voicemail,cmp_3
55,20,call,2025-12-28T01:14:28,voicemail,cmp_8
56,21,call,2025-12-28T15:02:28,voicemail,cmp_3
57,21,sms,2025-12-29T06:11:28,dropped,cmp_5
58,21,sms,2025-12-28T10:47:28,dropped,cmp_5
59,21,call,2026-01-01T10:19:28,voicemail,cmp_4
60,22,call,2025-12-28T01:58:28,dropped,cmp_3
61,22,call,2026-01-03T04:43:28,answered,cmp_4
62,22,sms,2025-12-27T21:48:28,no_answer,cmp_7
63,22,sms,2026-01-01T03:26:28,answered,cmp_3
64,22,sms,2025-12-31T14:03:28,dropped,cmp_7
65,23,sms,2026-01-02T15:59:28,voicemail,cmp_8
66,23,sms,2026-01-02T08:18:28,voicemail,cmp_5
67,24,sms,2025-12-27T00:16:28,voicemail,cmp_5
68,24,sms,2025-12-27T05:07:28,dropped,cmp_6
69,24,call,2025-12-31T05:49:28,answered,cmp_6
70,24,sms,2025-12-28T21:47:28,voicemail,cmp_5
71,24,call,2025-12-26T05:10:28,no_answer,cmp_4
72,27,call,2025-12-23T03:20:28,no_answer,cmp_1
73,27,sms,2025-12-24T10:16:28,no_answer,cmp_5
74,27,call,2025-12-22T14:31:28,answered,cmp_4
75,28,call,2025-12-31T00:04:28,no_answer,cmp_7
76,28,call,2025-12-31T06:09:28,dropped,cmp_8
77,28,sms,2025-12-27T00:05:28,answered,cmp_5
78,28,sms,2025-12-29T19:16:28,dropped,cmp_3
79,29,call,2025-12-28T22:17:28,voicemail,cmp_3
80,29,sms,2025-12-29T22:41:28,answered,cmp_6
81,29,call,2025-12-30T17:36:28,dropped,cmp_7
82,29,sms,2025-12-28T18:05:28,no_answer,cmp_3
83,29,call,2025-12-27T22:59:28,no_answer,cmp_8
84,29,sms,2025-12-30T16:21:28,answered,cmp_5
85,30,call,2025-12-31T17:23:28,dropped,cmp_5
86,30,sms,2025-12-30T07:51:28,voicemail,cmp_6
87,30,call,2026-01-02T02:22:28,dropped,cmp_6
88,30,sms,2026-01-01T17:43:28,no_answer,cmp_4
89,30,call,2026-01-03T15:03:28,voicemail,cmp_2
90,31,call,2025-12-20T10:08:28,no_answer,cmp_3
91,31,call,2025-12-23T00:43:28,dropped,cmp_2
92,31,call,2025-12-24T23:06:28,dropped,cmp_8
