conversion_id,lead_id,conversion_ts,conversion_type,revenue
1,1,2026-01-02T10:51:28,transfer,267.32
2,3,2025-12-25T05:14:28,transfer,300.15
3,7,2025-12-27T02:12:28,retainer_signed,238.16
4,26,2025-12-28T02:22:28,qualified_lead,302.72
5,34,2025-12-23T15:50:28,transfer,313.11
6,39,2025-12-28T23:06:28,retainer_signed,324.01
7,41,2025-12-26T15:33:28,retainer_signed,107.06
8,46,2025-12-21T18:09:28,qualified_lead,347.82
9,48,2025-12-25T14:51:28,qualified_lead,84.75
10,50,2026-01-05T22:24:28,transfer,190.06
11,51,2026-01-05T23:28:28,qualified_lead,143.74
12,60,2026-01-03T05:35:28,transfer,84.34
13,63,2025-12-29T02:36:28,qualified_lead,145.55
14,64,2025-12-28T06:45:28,retainer_signed,101.38
15,68,2025-12-26T12:31:28,qualified_lead,65.14
16,70,2026-01-02T03:17:28,qualified_lead,228.84
17,83,2025-12-30T14:48:28,transfer,143.12
18,88,2026-01-06T17:35:28,transfer,167.62
19,94,2026-01-05T14:10:28,transfer,193.6
20,102,2025-12-30T09:23:28,retainer_signed,287.73
21,119,2025-12-28T04:28:28,retainer_signed,227.65
22,123,2025-12-28T23:10:28,qualified_lead,82.62
23,129,2025-12-25T04:15:28,qualified_lead,292.95
24,151,2026-01-01T00:14:28,retainer_signed,261.01
25,169,2025-12-29T17:02:28,retainer_signed,53.48
26,171,2025-12-29T07:28:28,transfer,342.49
27,172,2025-12-26T03:05:28,transfer,308.05
28,183,2026-01-01T16:25:28,retainer_signed,263.64
29,187,2025-12-23T20:42:28,transfer,261.46
30,188,2025-12-29T11:02:28,retainer_signed,92.63
31,194,2026-01-01T05:27:28,retainer_signed,191.74
32,197,2026-01-02T10:36:28,qualified_lead,143.75
33,198,2025-12-25T05:57:28,retainer_signed,190.66
