lead_id,phone_hash,state,timezone,source,created_at,consent_flag,opt_out_at
1,6c707b616ed4a9163e259a2720477b5d,FL,PST,facebook,2025-12-28T00:51:28,false,
2,2f118b1ce98905bf5e5dae8912ad7a6f,CA,PST,google,2026-01-01T08:00:28,true,
3,e1a2434a9e118b1ca57eacc286535068,FL,EST,seo,2025-12-22T23:14:28,true,
4,00d0c1ae65c236608038e697af798a4d,WA,CST,affiliate,2025-12-28T21:59:28,true,2025-12-30T08:59:28
5,eb14f7671e65290b9d20e40a69b66c0c,IL,PST,affiliate,2025-12-24T04:06:28,true,
6,f62fd06b184be6e094c1a64979b3eadc,TX,MST,google,2025-12-31T10:51:28,true,
7,97da646ccf57addc33a807cb19a4e46c,WA,PST,affiliate,2025-12-24T11:12:28,true,
8,a6d31836ad0a06cfe3149e5c376c22ca,NY,MST,google,2025-12-20T10:24:28,true,2025-12-23T03:24:28
9,59fcf59d78cab723965b6ac64e9259a7,WA,EST,facebook,2025-12-17T11:21:28,true,
10,ed6b8819f120cb05436a6f148bc1a0b8,NY,MST,affiliate,2025-12-19T21:40:28,true,
11,126ad68f39cf4ec92f8c7e72e1a4b9b6,FL,MST,google,2025-12-25T11:36:28,true,
12,0bc34902997a44d9164d8c9b33d6ce8b,FL,CST,seo,2025-12-25T13:40:28,true,
13,72304f0924fcfd5f076f110f1439c512,NJ,PST,facebook,2025-12-19T04:56:28,true,
14,381a13cba25553079725f417514f0180,CA,EST,facebook,2025-12-24T15:49:28,true,
15,142092f4a233481546653c19539fa0f9,AZ,CST,facebook,2025-12-27T04:47:28,true,
16,7d143f8d048237ee08a62e95ad5fe1a3,IL,CST,google,2025-12-20T02:33:28,true,
17,51612b1407dc021ac92bd65463c4e906,CA,MST,affiliate,2025-12-29T14:16:28,true,
18,667f816a5bec7ec46b824c5f0d008c85,IL,EST,google,2025-12-17T20:09:28,false,
19,8aad8757739c36fd5005d9372ffa3171,TX,PST,google,2025-12-23T06:00:28,true,
20,289ed4c0b2c77cb88747d5dfdd7f6dd5,NJ,MST,google,2025-12-24T02:49:28,true,
21,ecb86467452e22e66ac8ea1888930f73,AZ,MST,facebook,2025-12-25T10:24:28,true,
22,8dfba3849543b4f216aa19429eed58cb,NY,MST,facebook,2025-12-27T07:28:28,true,
23,bb5a2fff029a7c453f19e6093ccb3611,WA,PST,facebook,2026-01-01T01:01:28,true,
24,1e1aace54df9224a7406ed802e7cc95d,AZ,MST,google,2025-12-25T01:31:28,true,
25,5cd53ef678c8bb7775a0ac2cb2378eca,WA,EST,seo,2025-12-29T04:59:28,true,
26,8de12c680b8ae8edebd2cc5ca17a67b2,TX,EST,facebook,2025-12-21T06:22:28,true,
27,87cd84c697fe7545c58a4f02a17af6e8,AZ,EST,google,2025-12-20T04:50:28,true,
28,547f9b249b3f45e1b660c0c2d7388d28,AZ,EST,facebook,2025-12-25T00:10:28,true,
29,81fa00c31ab130c11e71a36245e694ad,NY,PST,google,2025-12-24T08:00:28,true,
30,06777c93fcb0c88f1604c42a26387159,NJ,EST,affiliate,2025-12-28T19:08:28,true,2026-01-03T19:08:28
31,d2336621f4619eea6393b9474f6f9658,AZ,EST,google,2025-12-20T08:15:28,true,
32,d3abb62b22e4a4f5ed13d339b21db896,WA,MST,facebook,2025-12-31T13:18:28,true,
33,cc3710bd137b836445a8809d3b615623,TX,PST,facebook,2025-12-23T15:55:28,true,2025-12-24T20:55:28
34,b4324a00eb09b6188895585d3c0f358e,CA,MST,facebook,2025-12-17T13:50:28,true,
35,f508febc4e7f3d2abb2498005eab9234,NY,EST,affiliate,2025-12-22T15:45:28,true,
36,f35d91bdb3a0dd8c7e0ca8d3d84c13cd,WA,MST,facebook,2025-12-29T10:24:28,true,
37,6be1ea7295429f025f571d739ce90d6c,IL,PST,google,2025-12-23T05:01:28,true,
38,d60a192f38f2ce37ebb6a1158f87751a,AZ,CST,affiliate,2025-12-18T00:42:28,true,
39,7e0abf732c152b3e46d4765f5c8246f9,FL,PST,affiliate,2025-12-23T22:06:28,true,
40,6f93eb4c9dcaf3dff3d651a4d83ece6f,NY,PST,affiliate,2025-12-20T14:56:28,true,
41,dbca3c21ed289ad0a9153f48bc29415b,CA,MST,facebook,2025-12-18T23:33:28,true,
42,ff496b3522825764909a51feb0e3220c,IL,EST,google,2026-01-01T07:44:28,true,
43,e936424caf3a7eca6cf8c448ef0e27e8,CA,EST,affiliate,2025-12-25T15:05:28,true,2025-12-28T08:05:28
44,2091bdcd56476082f9a7a42e9103463e,CA,MST,affiliate,2025-12-31T22:42:28,true,
45,450885c315567e3e5a6513b327999656,NJ,MST,google,2025-12-22T04:43:28,true,
46,63550818bfe84d62c6f418cc76d2ffe3,FL,MST,affiliate,2025-12-20T02:09:28,true,
47,4b39549edf1b7ef75570c2aa5851c9d0,FL,EST,facebook,2025-12-18T08:14:28,true,
48,123efbd16536edfdbd6f2dfb2fe6da28,AZ,EST,affiliate,2025-12-18T16:51:28,true,
49,40d892ec85c3277d2aa856b22a2d32c9,WA,CST,affiliate,2025-12-19T00:51:28,true,2025-12-22T12:51:28
50,d16258c33f692d4bba969d668df758a5,WA,PST,facebook,2025-12-27T20:24:28,true,
51,f21e67cbfd544b33231e9e066d94079a,IL,PST,facebook,2025-12-28T02:28:28,true,
52,e755dcb48a2f2702e02e72b5f8df5aff,TX,PST,seo,2025-12-26T08:15:28,true,
53,1e5df7342966e0aeb69e4e0004968ed2,NY,MST,affiliate,2025-12-20T19:05:28,true,
54,cf8d80f530a2dad932136e28bef1c494,WA,EST,facebook,2025-12-21T21:26:28,false,
55,483fa92a0b2bf8ebcb5bc35bf7d1a888,IL,CST,google,2025-12-21T18:45:28,true,
56,95b591506f505164d25c37d6cb6f6a4a,IL,MST,seo,2025-12-25T10:18:28,true,
57,e8ca01970d049123f21f16fc18b4525a,WA,PST,seo,2025-12-28T18:15:28,true,
58,0707a1c3207d632fe66a4559ab21dde7,FL,EST,facebook,2025-12-28T15:35:28,true,
59,f59408d4ceb42cff4de65302b54c93a3,IL,CST,google,2025-12-21T12:44:28,true,2025-12-25T09:44:28
60,86091872e6612bc75e75876530950cb6,TX,MST,seo,2026-01-01T00:35:28,true,
61,1f838e424ae6968eaf5185b6a329022d,AZ,EST,seo,2025-12-23T01:20:28,true,
62,3b40a0c84ba72f4d0ffa48b3d1c53125,TX,MST,seo,2025-12-21T07:08:28,true,
63,e74eb8a1fbdf18ed6d79e34b75f58788,AZ,MST,google,2025-12-20T15:36:28,true,2025-12-23T18:36:28
64,b191fd0a4f57045301123da91affbbb2,AZ,EST,seo,2025-12-23T12:45:28,true,
65,eb604030a6c8739b051b22f324a543a7,NY,EST,affiliate,2025-12-20T16:37:28,true,
66,372e94199f228f9a83453a33af302485,NY,EST,affiliate,2025-12-27T18:01:28,true,
67,3fdfe7517d76bf19237882c722c0106a,NJ,CST,google,2025-12-24T05:57:28,true,
68,d5de65458e57e27687ba573f2d2803af,AZ,MST,seo,2025-12-25T21:31:28,false,
69,b2dce5a33f26246be78c149434fa7ffa,CA,PST,seo,2025-12-25T19:08:28,true,
70,1876507fc714c4e61ba8c6d5340f0aeb,NJ,EST,seo,2025-12-26T22:17:28,false,
71,92104de8b0f6f47732b3306c5c296d63,NJ,MST,google,2025-12-27T18:34:28,true,2026-01-02T15:34:28
72,b6a78f072edbe3e31ec95a806d0ac518,CA,EST,facebook,2025-12-22T15:04:28,true,
73,2c14ce30538a113375f035314161d211,WA,EST,google,2025-12-25T03:02:28,true,
74,b31f94cc37a432178191d7e7e02555b2,NJ,EST,affiliate,2025-12-19T19:48:28,true,
75,6e43a7189c8d13f4d646a0480ba1ba36,WA,PST,google,2025-12-20T15:02:28,true,
76,41cd2e12b29f04f18760faa768158dd6,CA,PST,google,2025-12-22T06:17:28,true,2025-12-25T12:17:28
